gene_id,Chr,Reads,TPM,Name,Product
BBFGCJEA_02645,ec_contig_16,4119,269.769,tomB,Hha toxicity modulator TomB
BBFGCJEA_02646,ec_contig_16,1028,115.287,hha,Hemolysin expression-modulating protein Hha
BBFGCJEA_02647,ec_contig_16,626,27.8526,maa,Maltose O-acetyltransferase
BBFGCJEA_02648,ec_contig_16,501,26.1245,ylaC,Inner membrane protein YlaC
BBFGCJEA_02649,ec_contig_16,699,11.0687,pdeB,putative cyclic di-GMP phosphodiesterase PdeB
BBFGCJEA_02650,ec_contig_16,52,3.6077,ybaA,putative protein YbaA
BBFGCJEA_02651,ec_contig_16,191,15.0352,atl,DNA base-flipping protein
BBFGCJEA_02652,ec_contig_16,730,31.2895,ybaY,putative lipoprotein YbaY
BBFGCJEA_02653,ec_contig_16,948,27.0418,tesB,Acyl-CoA thioesterase 2
BBFGCJEA_02654,ec_contig_16,519,9.90421,amtB,Ammonium transporter AmtB
BBFGCJEA_02655,ec_contig_16,76,5.50611,glnK,Nitrogen regulatory protein GlnK
BBFGCJEA_02656,ec_contig_16,564,7.77324,smdB,multidrug efflux ABC transporter permease/ATP-binding subunit SmdB
BBFGCJEA_02657,ec_contig_16,634,8.78236,smdA,multidrug efflux ABC transporter permease/ATP-binding subunit SmdA
BBFGCJEA_02658,ec_contig_16,105,5.61833,decR,DNA-binding transcriptional activator DecR
BBFGCJEA_02659,ec_contig_16,408,12.2351,cof,HMP-PP phosphatase
BBFGCJEA_02660,ec_contig_16,226,3.26313,sgrR_1,HTH-type transcriptional regulator SgrR
BBFGCJEA_02661,ec_contig_16,615,21.7018,queC,7-cyano-7-deazaguanine synthase
BBFGCJEA_02662,ec_contig_16,82,5.04745,fadM,Long-chain acyl-CoA thioesterase FadM
BBFGCJEA_02663,ec_contig_16,91,6.00799,,putative protein
BBFGCJEA_02664,ec_contig_16,4312,56.5723,ppiD,Periplasmic chaperone PpiD
BBFGCJEA_02665,ec_contig_16,16524,1486.56,hupB,DNA-binding protein HU-beta
BBFGCJEA_02666,ec_contig_16,5398,56.2954,lon_2,Lon protease
BBFGCJEA_02667,ec_contig_16,14189,273.321,clpX,ATP-dependent Clp protease ATP-binding subunit ClpX
BBFGCJEA_02668,ec_contig_16,5183,203.999,clpP,ATP-dependent Clp protease proteolytic subunit
BBFGCJEA_02669,ec_contig_16,26160,494.606,tig,Trigger factor
BBFGCJEA_02670,ec_contig_16,1144,89.1962,bolA,DNA-binding transcriptional regulator BolA
BBFGCJEA_02671,ec_contig_16,1469,62.3123,,hypothetical protein
BBFGCJEA_02672,ec_contig_16,1680,27.9546,ampG,Anhydromuropeptide permease
BBFGCJEA_02673,ec_contig_16,11151,288.893,cyoA,Cytochrome bo(3) ubiquinol oxidase subunit 2
