gene_id,Chr,Reads,TPM,Name,Product
BBFGCJEA_04151,ec_contig_18,1772,242.915,,hypothetical protein
IEOEGPMD_03098,pa_contig_19,478,235.379,,
BBFGCJEA_02303,ec_contig_16,1640,235.156,bhsA_2,Multiple stress resistance protein BhsA
IEOEGPMD_03993,pa_contig_19,473,232.917,,
IEOEGPMD_02395,pa_contig_19,458,225.53,,
BBFGCJEA_03696,ec_contig_17,1497,219.703,rpsQ,Small ribosomal subunit protein uS17
BBFGCJEA_01568,ec_contig_16,558,217.529,mgtS,Small protein MgtS
BBFGCJEA_04326,ec_contig_18,5572,214.535,cysK,Cysteine synthase A
BBFGCJEA_00362,ec_contig_7,7464,214.05,aceA,Isocitrate lyase
BBFGCJEA_02299,ec_contig_16,1455,208.63,mcbA,putative protein McbA
BBFGCJEA_01264,ec_contig_16,1295,204.491,yebV,putative protein YebV
BBFGCJEA_02498,ec_contig_16,2973,197.274,ahpC,Alkyl hydroperoxide reductase C
BBFGCJEA_02092,ec_contig_16,5420,185.751,rutA,Pyrimidine monooxygenase RutA
BBFGCJEA_03396,ec_contig_17,704,182.963,yqhI,Protein YqhI
BBFGCJEA_03067,ec_contig_16,3933,179.063,dapB,4-hydroxy-tetrahydrodipicolinate reductase
BBFGCJEA_00363,ec_contig_7,7447,173.969,aceB,Malate synthase A
BBFGCJEA_01443,ec_contig_16,407,169.241,ynhF,putative protein YnhF
BBFGCJEA_04150,ec_contig_18,5680,163.641,kgtP,Alpha-ketoglutarate permease
BBFGCJEA_00338,ec_contig_7,660,161.438,,hypothetical protein
BBFGCJEA_03687,ec_contig_17,775,161.132,rpmD,Large ribosomal subunit protein uL30
BBFGCJEA_01538,ec_contig_16,1017,158.585,relB,Antitoxin RelB
BBFGCJEA_02385,ec_contig_16,454,157.321,ybgU,Protein YbgU
BBFGCJEA_00168,ec_contig_4,1159,157.155,,hypothetical protein
BBFGCJEA_00832,ec_contig_11,1260,154.1,elaB,Protein ElaB
BBFGCJEA_02269,ec_contig_16,1576,153.595,,hypothetical protein
BBFGCJEA_01687,ec_contig_16,464,148.418,gapA_2,Glyceraldehyde-3-phosphate dehydrogenase
BBFGCJEA_02497,ec_contig_16,6048,141.818,ahpF,Alkyl hydroperoxide reductase subunit F
BBFGCJEA_02601,ec_contig_16,3036,139.24,allR,HTH-type transcriptional repressor AllR
BBFGCJEA_00120,ec_contig_4,1642,135.653,tabA,Toxin-antitoxin biofilm protein TabA
BBFGCJEA_03723,ec_contig_17,696,133.576,bfd,Bacterioferritin-associated ferredoxin
BBFGCJEA_03693,ec_contig_17,1913,132.579,rplE,Large ribosomal subunit protein uL5
BBFGCJEA_03694,ec_contig_17,1093,129.856,rplX,Large ribosomal subunit protein uL24
BBFGCJEA_04139,ec_contig_18,3707,129.535,aroF,Phospho-2-dehydro-3-deoxyheptonate aldolase%2C Tyr-sensitive
BBFGCJEA_03028,ec_contig_16,447,126.732,sgrT,Putative inhibitor of glucose uptake transporter SgrT
BBFGCJEA_03823,ec_contig_17,2351,126.414,yhhW,Quercetin 2%2C3-dioxygenase
BBFGCJEA_03722,ec_contig_17,1605,125.924,bfr,Bacterioferritin
BBFGCJEA_01115,ec_contig_16,3073,125.278,gltC_2,Transcriptional dual regulator GltC
BBFGCJEA_02099,ec_contig_16,580,124.748,,Putative virulence-regulating protein
BBFGCJEA_02875,ec_contig_16,827,118.582,dinJ,Antitoxin DinJ
BBFGCJEA_04164,ec_contig_18,1803,117.146,rpoE,ECF RNA polymerase sigma-E factor
BBFGCJEA_02097,ec_contig_16,1540,116.431,rutF,FMN reductase (NADH) RutF
BBFGCJEA_03695,ec_contig_17,1157,116.398,rplN,Large ribosomal subunit protein uL14
BBFGCJEA_02148,ec_contig_16,3168,113.891,ompA,Outer membrane protein A
BBFGCJEA_00593,ec_contig_7,992,112.5,trxA,Thioredoxin 1
BBFGCJEA_02101,ec_contig_16,678,111.288,yccJ,putative protein YccJ
BBFGCJEA_02093,ec_contig_16,2057,110.606,rutB,Ureidoacrylate amidohydrolase RutB
BBFGCJEA_00029,ec_contig_15,316,109.501,ldrD,Small toxic polypeptide LdrD
BBFGCJEA_03676,ec_contig_17,633,108.172,arfA,Alternative ribosome-rescue factor A
BBFGCJEA_02014,ec_contig_16,684,108.009,acpP,Acyl carrier protein
BBFGCJEA_00392,ec_contig_7,1049,107.262,rplL,Large ribosomal subunit protein bL12
BBFGCJEA_00447,ec_contig_7,674,105.1,zapB,Cell division protein ZapB
BBFGCJEA_01772,ec_contig_16,723,104.875,,hypothetical protein
BBFGCJEA_00461,ec_contig_7,1394,104.131,cpxP,Periplasmic protein CpxP
BBFGCJEA_02224,ec_contig_16,862,100.498,clpS,ATP-dependent Clp protease adapter protein ClpS
BBFGCJEA_01540,ec_contig_16,413,99.0784,hokC_1,Toxic protein HokC
BBFGCJEA_02291,ec_contig_16,1360,98.6376,ompX,Outer membrane protein X
BBFGCJEA_01168,ec_contig_16,1256,97.9269,ysnE,putative N-acetyltransferase YsnE
BBFGCJEA_02096,ec_contig_16,1505,95.3021,rutE,putative malonic semialdehyde reductase RutE
BBFGCJEA_02645,ec_contig_16,950,94.8082,tomB,Hha toxicity modulator TomB
BBFGCJEA_03016,ec_contig_16,927,94.7877,ftsL,Cell division protein FtsL
BBFGCJEA_02433,ec_contig_16,4145,93.1673,asnB,Asparagine synthetase B [glutamine-hydrolyzing]
